EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us]
1,100,0.00330841,302.26,0.00330841,120.32,30226
2,100,0.00374546,266.99,0.00749092,101.46,26699
3,100,0.00138591,721.55,0.00415772,306.02,72155
4,100,0.000656314,1523.66,0.00262526,897.862,152366
5,100,0.000570542,1752.72,0.00285271,572.392,175272
6,100,0.000709577,1409.29,0.00425746,439.558,140929
7,100,0.00064367,1553.59,0.00450569,612.219,155359
8,100,0.00331818,301.37,0.0265454,162.046,30137
9,100,0.000634957,1574.91,0.00571461,1019.56,157491
10,100,0.000419319,2384.82,0.00419319,515.238,238482
11,100,0.00038751,2580.58,0.00426261,1067.86,258058
12,100,0.000426125,2346.73,0.0051135,1207.4,234673
13,100,0.000414828,2410.64,0.00539276,1058.96,241064
14,100,0.000650555,1537.15,0.00910776,705.901,153715
15,100,0.00109439,913.75,0.0164159,399.815,91375
16,100,0.000465199,2149.62,0.00744318,809.913,214962
17,100,0.000497636,2009.5,0.00845982,900.428,200950
18,100,0.000436634,2290.25,0.0078594,1025.71,229025
19,100,0.000245432,4074.45,0.00466321,2278.32,407445
20,100,0.000471038,2122.97,0.00942076,891.693,212297
20,100,0.000480181,2082.55,0.00960361,1363.64,208255
20,100,0.000573421,1743.92,0.0114684,841.687,174392
20,100,0.000618613,1616.52,0.0123723,856.962,161652
20,100,0.000436131,2292.89,0.00872262,1145.66,229289
20,100,0.000413051,2421.01,0.00826102,1344.4,242101
20,100,0.000449652,2223.94,0.00899305,1154.42,222394
20,100,0.000534554,1870.72,0.0106911,732.356,187072
20,100,0.000426143,2346.63,0.00852286,1104.15,234663
20,100,0.000863461,1158.13,0.0172692,485.053,115813
20,100,0.000464885,2151.07,0.0092977,760.611,215107
20,100,0.000521398,1917.92,0.010428,1221.54,191792
20,100,0.000866927,1153.5,0.0173385,575.514,115350
20,100,0.000771064,1296.91,0.0154213,833.943,129691
20,100,0.000573454,1743.82,0.0114691,562.15,174382
20,100,0.000403125,2480.62,0.0080625,956.7,248062
20,100,0.000769414,1299.69,0.0153883,668.989,129969
20,100,0.000261435,3825.04,0.0052287,2225.39,382504
20,100,0.000349959,2857.48,0.00699917,1871.75,285748
20,100,0.000427886,2337.07,0.00855772,1487.97,233707
20,100,0.000556443,1797.13,0.0111289,948.112,179713
20,100,0.000400692,2495.68,0.00801385,1292.13,249568
20,100,0.000494227,2023.36,0.00988455,1086.43,202336
20,100,0.000558422,1790.76,0.0111684,856.568,179076
20,100,0.000166378,6010.41,0.00332756,3029.3,601041
20,100,0.000211137,4736.27,0.00422273,2473.43,473627
20,100,0.000227383,4397.87,0.00454766,2165.56,439787
20,100,0.000597361,1674.03,0.0119472,1143.28,167403
20,100,0.000407495,2454.02,0.00814989,1316.75,245402
20,100,0.000473263,2112.99,0.00946526,778.864,211299
20,100,0.000328859,3040.82,0.00657717,1536.38,304082
20,100,0.000320131,3123.72,0.00640262,1890.07,312372
20,100,0.000498547,2005.83,0.00997093,736.416,200583
20,100,0.000217173,4604.63,0.00434345,2944.15,460463
20,100,0.000344199,2905.3,0.00688397,1965.01,290530
20,100,0.000549288,1820.54,0.0109858,936.948,182054
20,100,0.000332979,3003.19,0.00665959,1115.52,300319
20,100,0.000691721,1445.67,0.0138344,856.529,144567
